Date,Kshape,Kmeans,TSKM-E,Clarans,Kmedoids
2016-11-28,-0.00025994002631634326,8.067754060600102e-07,-5.38833232384695e-06,1.1376474929843232e-07,0.00027670541823254834
2016-11-29,-0.0002612404218485978,8.020304586942095e-07,-5.459052637696985e-06,1.1588147910142425e-07,0.0002685249015317512
2016-11-30,-0.00020134201532693715,7.404946100712267e-07,-5.1514687400728705e-06,1.182085570628646e-07,0.00023260963776201705
2016-12-01,-0.00017916704221343345,7.441721200267514e-07,-5.087265553725351e-06,1.169642090366425e-07,0.00022228433687101608
2016-12-02,-0.00018074705920885622,7.361607610860097e-07,-4.950295605959885e-06,1.1905017778588515e-07,0.00022141041976672443
2016-12-05,-0.00019595363180968268,7.583376120711695e-07,-5.245806267300181e-06,1.3171058529436394e-07,0.00023439026162736158
2016-12-06,-0.00020207553943117369,7.781618524892874e-07,-5.418701460267916e-06,1.3798242744792562e-07,0.00024195591357334935
2016-12-07,-0.00025052522152164443,8.554314160041359e-07,-5.9907579523709685e-06,1.7631146991536657e-07,0.0002774581412595788
2016-12-08,-0.0002454241459413504,8.418189291447157e-07,-6.0636395522210665e-06,1.8007962636716525e-07,0.00027655016331182205
2016-12-09,-0.0002601431645577522,8.741301000284924e-07,-6.194672997182837e-06,2.0514117494719445e-07,0.00029408480638651926
2016-12-12,-0.0002455307262454047,8.478918747445998e-07,-5.883023986889178e-06,2.0376394183373016e-07,0.00028429263729009484
2016-12-13,-0.00026274990976459043,8.556350730616543e-07,-6.0538083823897585e-06,2.2970686177809008e-07,0.00030049643297471216
2016-12-14,-0.00025430379994871165,8.42155110002489e-07,-6.080419657048118e-06,1.8049817732446422e-07,0.00028717880901345683
2016-12-15,-0.000255817460886343,8.462673953111278e-07,-6.158228817398275e-06,1.9444860618937385e-07,0.0002931520476683714
2016-12-16,-0.0002305241341829121,8.113276505263375e-07,-5.751809095146376e-06,1.728944310908667e-07,0.0002712955072962788
2016-12-19,-0.0002480138403767529,8.262784984556727e-07,-5.888804015350561e-06,1.7893913478610078e-07,0.00028027516690105864
2016-12-20,-0.00026019352598949814,8.447388406938896e-07,-6.125482944506624e-06,1.9055934016002384e-07,0.0002915027775188007
2016-12-21,-0.00026042139648087276,8.480301524852903e-07,-6.134481342560279e-06,1.8411038079890536e-07,0.0002885346656555278
2016-12-22,-0.00024182827292331416,8.149021083281994e-07,-5.8847680650755245e-06,1.795940743487079e-07,0.00027481429710481017
2016-12-23,-0.00023779612509304806,8.137790601204864e-07,-5.8704354370397354e-06,1.827724731671458e-07,0.0002758837164423203
2016-12-26,-0.00023779612509304806,8.137790601204864e-07,-5.8704354370397354e-06,1.827724731671458e-07,0.0002758837164423203
2016-12-27,-0.00024365449471552684,8.163797961350903e-07,-5.934680760381102e-06,1.8925222873956123e-07,0.00028091880467828853
2016-12-28,-0.00023092225538398113,7.995797255249589e-07,-5.781090848246993e-06,1.5577383981319155e-07,0.0002651240252112292
2016-12-29,-0.00023391524901558039,7.958784985561984e-07,-5.6630103002856546e-06,1.5830517370245142e-07,0.0002664531975813621
2016-12-30,-0.00020936367948007389,6.944265817684964e-07,-4.9924446383705e-06,1.5417094760775697e-07,0.00023248797842054735
2017-01-02,-0.00020936367948007389,6.944265817684964e-07,-4.9924446383705e-06,1.5417094760775697e-07,0.00023248797842054735
